All Transactions Activity Types

Account Activity for Joint JTWROS -2060 from 2021

Total:,0.049999999999272404

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
12/30/21,12/30/21,,Dividend,VANGUARD HEALTH CARE INV      VANGUARD                      REINVEST PRICE $228.26,VGHCX,--,7.175,0,-1637.68,0,--,--
12/30/21,12/30/21,,Dividend,VANGUARD HEALTH CARE INV      VANGUARD                      REINVEST PRICE $228.26,VGHCX,--,0.719,0,-164.2,0,--,--
12/30/21,12/30/21,,Dividend,VANGUARD HEALTH CARE INV      VANGUARD                      REINVEST PRICE $228.26,VGHCX,--,0.895,0,-204.21,0,--,--
12/30/21,12/30/21,,Dividend,VANGUARD HEALTH CARE INV      VANGUARD                      S/T CAPITAL GAIN              RECORD 12/28/21 PAY 12/30/21,VGHCX,--,0,0,164.2,0,--,--
12/30/21,12/30/21,,Dividend,VANGUARD HEALTH CARE INV      VANGUARD                      RECORD 12/28/21 PAY 12/30/21  DIVIDEND RATE      1.58270000,VGHCX,--,0,0,204.21,0,--,--
12/30/21,12/30/21,,Dividend,VANGUARD HEALTH CARE INV      VANGUARD                      L/T CAPITAL GAIN              RECORD 12/28/21 PAY 12/30/21,VGHCX,--,0,0,1637.68,0,--,--
12/29/21,12/29/21,,Dividend,PIMCO STOCKSPLUS?? ABSOLUTE RETPIMCO                         REINVEST PRICE $ 11.67,PTOAX,--,25.742,0,-300.41,0,--,--
12/29/21,12/29/21,,Dividend,PIMCO STOCKSPLUS?? ABSOLUTE RETPIMCO                         RECORD 12/27/21 PAY 12/28/21  DIVIDEND RATE      0.07728000,PTOAX,--,0,0,300.41,0,--,--
12/21/21,12/21/21,,Dividend,VANGUARD 500 INDEX ADMIRAL    VANGUARD                      REINVEST PRICE $421.39,VFIAX,--,0.382,0,-160.88,0,--,--
12/21/21,12/21/21,,Dividend,VANGUARD 500 INDEX ADMIRAL    VANGUARD                      RECORD 12/17/21 PAY 12/21/21  DIVIDEND RATE      1.53510000,VFIAX,--,0,0,160.88,0,--,--
12/17/21,12/17/21,,Dividend,SCHWAB HEALTH CARE            SCHWAB FUNDS                  REINVEST PRICE $ 27.93,SWHFX,--,119.28,0,-3331.5,0,--,--
12/17/21,12/17/21,,Dividend,SCHWAB HEALTH CARE            SCHWAB FUNDS                  REINVEST PRICE $ 27.93,SWHFX,--,34.916,0,-975.19,0,--,--
12/17/21,12/17/21,,Dividend,SCHWAB HEALTH CARE            SCHWAB FUNDS                  REINVEST PRICE $ 27.93,SWHFX,--,10.433,0,-291.4,0,--,--
12/17/21,12/17/21,,Dividend,SCHWAB HEALTH CARE            SCHWAB FUNDS                  S/T CAPITAL GAIN              RECORD 12/15/21 PAY 12/16/21,SWHFX,--,0,0,975.19,0,--,--
12/17/21,12/17/21,,Dividend,SCHWAB HEALTH CARE            SCHWAB FUNDS                  RECORD 12/15/21 PAY 12/16/21  DIVIDEND RATE      0.22620000,SWHFX,--,0,0,291.4,0,--,--
12/17/21,12/17/21,,Dividend,SCHWAB HEALTH CARE            SCHWAB FUNDS                  L/T CAPITAL GAIN              RECORD 12/15/21 PAY 12/16/21,SWHFX,--,0,0,3331.5,0,--,--
12/15/21,12/15/21,,Dividend,T. ROWE PRICE QM US SMALL-CAP T. ROWE PRICE                 REINVEST PRICE $ 44.31,PRDSX,--,84.957,0,-3764.46,0,--,--
12/15/21,12/15/21,,Dividend,T. ROWE PRICE QM US SMALL-CAP T. ROWE PRICE                 REINVEST PRICE $ 44.31,PRDSX,--,6.573,0,-291.26,0,--,--
12/15/21,12/15/21,,Dividend,T. ROWE PRICE QM US SMALL-CAP T. ROWE PRICE                 S/T CAPITAL GAIN              RECORD 12/13/21 PAY 12/15/21,PRDSX,--,0,0,291.26,0,--,--
12/15/21,12/15/21,,Dividend,T. ROWE PRICE QM US SMALL-CAP T. ROWE PRICE                 L/T CAPITAL GAIN              RECORD 12/13/21 PAY 12/15/21,PRDSX,--,0,0,3764.46,0,--,--
12/13/21,12/13/21,,Dividend,SCHWAB 1000 INDEX??            SCHWAB FUNDS                  REINVEST PRICE $102.32,SNXFX,--,2.475,0,-253.22,0,--,--
12/13/21,12/13/21,,Dividend,SCHWAB 1000 INDEX??            SCHWAB FUNDS                  REINVEST PRICE $102.32,SNXFX,--,5.266,0,-538.86,0,--,--
12/13/21,12/13/21,,Dividend,SCHWAB 1000 INDEX??            SCHWAB FUNDS                  RECORD 12/09/21 PAY 12/10/21  DIVIDEND RATE      1.22680000,SNXFX,--,0,0,538.86,0,--,--
12/13/21,12/13/21,,Dividend,SCHWAB 1000 INDEX??            SCHWAB FUNDS                  L/T CAPITAL GAIN              RECORD 12/09/21 PAY 12/10/21,SNXFX,--,0,0,253.22,0,--,--
12/09/21,12/09/21,,Dividend,PIMCO STOCKSPLUS?? ABSOLUTE RETPIMCO                         REINVEST PRICE $ 11.52,PTOAX,--,712.667,0,-8209.92,0,--,--
12/09/21,12/09/21,,Dividend,PIMCO STOCKSPLUS?? ABSOLUTE RETPIMCO                         L/T CAPITAL GAIN              RECORD 12/07/21 PAY 12/08/21,PTOAX,--,0,0,8209.92,0,--,--
09/29/21,09/29/21,,Dividend,VANGUARD 500 INDEX ADMIRAL    VANGUARD                      REINVEST PRICE $401.73,VFIAX,--,0.34,0,-136.57,0,--,--
09/29/21,09/29/21,,Dividend,VANGUARD 500 INDEX ADMIRAL    VANGUARD                      RECORD 09/27/21 PAY 09/29/21  DIVIDEND RATE      1.30740000,VFIAX,--,0,0,136.57,0,--,--
09/10/21,09/10/21,,Dividend,PIMCO STOCKSPLUS?? ABSOLUTE RETPIMCO                         REINVEST PRICE $ 13.60,PTOAX,--,124.232,0,-1689.55,0,--,--
09/10/21,09/10/21,,Dividend,PIMCO STOCKSPLUS?? ABSOLUTE RETPIMCO                         RECORD 09/08/21 PAY 09/09/21  DIVIDEND RATE      0.55387000,PTOAX,--,0,0,1689.55,0,--,--
07/19/21,07/19/21,,Interest,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST,#2145605,--,0,0,0.05,0,--,--
07/16/21,07/16/21,,Transfer,ACH WITHDRAWL                 REFID:29957941906;, ,--,0,0,-10000,0,--,--
06/29/21,06/29/21,,Dividend,VANGUARD 500 INDEX ADMIRAL    VANGUARD                      REINVEST PRICE $395.98,VFIAX,--,0.35,0,-138.75,0,--,--
06/29/21,06/29/21,,Dividend,VANGUARD 500 INDEX ADMIRAL    VANGUARD                      RECORD 06/25/21 PAY 06/29/21  DIVIDEND RATE      1.33270000,VFIAX,--,0,0,138.75,0,--,--
06/28/21,06/28/21,,Transfer,ACH DEPOSIT                   REFID:28430526906;, ,--,0,0,10000,0,--,--
06/11/21,06/11/21,,Dividend,PIMCO STOCKSPLUS?? ABSOLUTE RETPIMCO                         REINVEST PRICE $ 13.35,PTOAX,--,69.36,0,-925.95,0,--,--
06/11/21,06/11/21,,Dividend,PIMCO STOCKSPLUS?? ABSOLUTE RETPIMCO                         RECORD 06/09/21 PAY 06/10/21  DIVIDEND RATE      0.31061000,PTOAX,--,0,0,925.95,0,--,--
03/29/21,03/29/21,,Dividend,VANGUARD HEALTH CARE INV      VANGUARD                      REINVEST PRICE $212.68,VGHCX,--,1.089,0,-231.52,0,--,--
03/29/21,03/29/21,,Dividend,VANGUARD HEALTH CARE INV      VANGUARD                      REINVEST PRICE $212.68,VGHCX,--,0.68,0,-144.56,0,--,--
03/29/21,03/29/21,,Dividend,VANGUARD HEALTH CARE INV      VANGUARD                      REINVEST PRICE $212.68,VGHCX,--,0.22,0,-46.8,0,--,--
03/29/21,03/29/21,,Dividend,VANGUARD HEALTH CARE INV      VANGUARD                      S/T CAPITAL GAIN              RECORD 03/25/21 PAY 03/29/21,VGHCX,--,0,0,144.56,0,--,--
03/29/21,03/29/21,,Dividend,VANGUARD HEALTH CARE INV      VANGUARD                      RECORD 03/25/21 PAY 03/29/21  DIVIDEND RATE      0.368400000,VGHCX,--,0,0,46.8,0,--,--
03/29/21,03/29/21,,Dividend,VANGUARD HEALTH CARE INV      VANGUARD                      L/T CAPITAL GAIN              RECORD 03/25/21 PAY 03/29/21,VGHCX,--,0,0,231.52,0,--,--
03/26/21,03/26/21,,Dividend,VANGUARD 500 INDEX ADMIRAL    VANGUARD                      REINVEST PRICE $360.78,VFIAX,--,0.363,0,-130.88,0,--,--
03/26/21,03/26/21,,Dividend,VANGUARD 500 INDEX ADMIRAL    VANGUARD                      RECORD 03/24/21 PAY 03/26/21  DIVIDEND RATE      1.261500000,VFIAX,--,0,0,130.88,0,--,--
03/12/21,03/12/21,,Dividend,PIMCO STOCKSPLUS?? ABSOLUTE RETPIMCO                         REINVEST PRICE $ 12.61,PTOAX,--,65.776,0,-829.43,0,--,--
03/12/21,03/12/21,,Dividend,PIMCO STOCKSPLUS?? ABSOLUTE RETPIMCO                         RECORD 03/10/21 PAY 03/11/21  DIVIDEND RATE      0.284510000,PTOAX,--,0,0,829.43,0,--,--
