All Transactions Activity Types

Account Activity for Joint JTWROS -2060 from Prior Year

Total:,39278.31

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
12/31/25,12/31/25,12/31/25,Interest Income,MORGAN STANLEY BANK N.A. (Period 12/01-12/31),MSBNK,--,,,0.29,0.0,--,--
12/30/25,12/30/25,12/30/25,Qualified Dividend,LOCKHEED MARTIN CORP REC 12/30/25 PAY 12/30/25 RATE 0.00000000 QTY 0.00000000,LMT,--,,,120.75,0.0,--,--
12/26/25,12/26/25,12/26/25,Online Transfer,TRANSFER FROM XXXXX6158  REFID:8219744395,--,--,,,5689.38,0.0,--,--
12/23/25,12/23/25,12/23/25,Qualified Dividend,META PLATFORMS INC CL A REC 12/23/25 PAY 12/23/25 RATE 0.00000000 QTY 0.00000000,META,--,,,11.03,0.0,--,--
12/10/25,12/10/25,12/10/25,Qualified Dividend,ELI LILLY & CO REC 12/10/25 PAY 12/10/25 RATE 0.00000000 QTY 0.00000000,LLY,--,,,27.0,0.0,--,--
12/01/25,12/01/25,11/28/25,Dividend,179.640000 VANGUARD FEDERAL MMKT INV REINVEST PRICE $ 1 As of 11/28/25,VMFXX,--,179.64,1.0,-179.64,0.0,--,--
12/01/25,12/01/25,11/28/25,Dividend,VANGUARD FEDERAL MMKT INV DIV PAYMENT,VMFXX,--,,,179.64,0.0,--,--
11/28/25,11/28/25,11/28/25,Interest Income,MORGAN STANLEY BANK N.A. (Period 11/01-11/30),MSBNK,--,,,0.24,0.0,--,--
11/04/25,11/04/25,11/05/25,Sold,VANGUARD FEDERAL MMKT INV CONFIRM NBR UNSOLICITED TRADE,VMFXX,--,-30000.0,1.0,30000.0,0.0,--,--
11/03/25,11/03/25,10/31/25,Dividend,280.580000 VANGUARD FEDERAL MMKT INV REINVEST PRICE $ 1 As of 10/31/25,VMFXX,--,280.58,1.0,-280.58,0.0,--,--
11/03/25,11/03/25,10/31/25,Dividend,VANGUARD FEDERAL MMKT INV DIV PAYMENT,VMFXX,--,,,280.58,0.0,--,--
10/31/25,10/31/25,10/31/25,Interest Income,MORGAN STANLEY BANK N.A. (Period 10/01-10/31),MSBNK,--,,,0.03,0.0,--,--
10/27/25,10/27/25,10/27/25,Qualified Dividend,ELBIT SYSTEMS LTD REC 10/27/25 PAY 10/27/25 RATE 0.00000000 QTY 0.00000000,ESLT,--,,,21.84,0.0,--,--
10/27/25,10/27/25,10/27/25,Dividend,ELBIT SYSTEMS LTD ADJ GROSS DIV AMOUNT      4.41 FOREIGN TAX PAID IS       4.41,ESLT,--,,,0.0,0.0,--,--
10/01/25,10/01/25,09/30/25,Dividend,277.640000 VANGUARD FEDERAL MMKT INV REINVEST PRICE $ 1 As of 09/30/25,VMFXX,--,277.64,1.0,-277.64,0.0,--,--
10/01/25,10/01/25,09/30/25,Dividend,VANGUARD FEDERAL MMKT INV DIV PAYMENT,VMFXX,--,,,277.64,0.0,--,--
09/30/25,09/30/25,09/30/25,Interest Income,MORGAN STANLEY BANK N.A. (Period 09/01-09/30),MSBNK,--,,,0.03,0.0,--,--
09/29/25,09/29/25,09/29/25,Qualified Dividend,META PLATFORMS INC CL A REC 09/29/25 PAY 09/29/25 RATE 0.00000000 QTY 0.00000000,META,--,,,11.03,0.0,--,--
09/26/25,09/26/25,09/26/25,Qualified Dividend,LOCKHEED MARTIN CORP REC 09/26/25 PAY 09/26/25 RATE 0.00000000 QTY 0.00000000,LMT,--,,,115.5,0.0,--,--
09/10/25,09/10/25,09/10/25,Qualified Dividend,ELI LILLY & CO REC 09/10/25 PAY 09/10/25 RATE 0.00000000 QTY 0.00000000,LLY,--,,,27.0,0.0,--,--
09/02/25,09/02/25,08/29/25,Dividend,255.890000 VANGUARD FEDERAL MMKT INV REINVEST PRICE $ 1 As of 08/29/25,VMFXX,--,255.89,1.0,-255.89,0.0,--,--
09/02/25,09/02/25,08/29/25,Dividend,VANGUARD FEDERAL MMKT INV DIV PAYMENT,VMFXX,--,,,255.89,0.0,--,--
08/29/25,08/29/25,08/29/25,Interest Income,MORGAN STANLEY BANK N.A. (Period 08/01-08/31),MSBNK,--,,,0.17,0.0,--,--
08/08/25,08/08/25,08/11/25,Bought,VANGUARD FEDERAL MMKT INV CONFIRM NBR UNSOLICITED TRADE,VMFXX,--,30000.0,1.0,-30000.0,0.0,--,--
08/08/25,08/08/25,08/11/25,Bought,TESLA INC UNSOLICITED TRADE,TSLA,--,66.0,328.91,-21708.06,0.0,--,--
08/01/25,08/01/25,07/31/25,Dividend,182.960000 VANGUARD FEDERAL MMKT INV REINVEST PRICE $ 1 As of 07/31/25,VMFXX,--,182.96,1.0,-182.96,0.0,--,--
08/01/25,08/01/25,07/31/25,Dividend,VANGUARD FEDERAL MMKT INV DIV PAYMENT,VMFXX,--,,,182.96,0.0,--,--
07/31/25,07/31/25,07/31/25,Interest Income,MORGAN STANLEY BANK N.A. (Period 07/01-07/31),MSBNK,--,,,0.46,0.0,--,--
07/07/25,07/07/25,07/07/25,Qualified Dividend,ELBIT SYSTEMS LTD REC 07/07/25 PAY 07/07/25 RATE 0.00000000 QTY 0.00000000,ESLT,--,,,17.47,0.0,--,--
07/07/25,07/07/25,07/07/25,Dividend,ELBIT SYSTEMS LTD ADJ GROSS DIV AMOUNT      3.53 FOREIGN TAX PAID IS       3.53,ESLT,--,,,0.0,0.0,--,--
07/01/25,07/01/25,06/30/25,Dividend,175.940000 VANGUARD FEDERAL MMKT INV REINVEST PRICE $ 1 As of 06/30/25,VMFXX,--,175.94,1.0,-175.94,0.0,--,--
07/01/25,07/01/25,06/30/25,Dividend,VANGUARD FEDERAL MMKT INV DIV PAYMENT,VMFXX,--,,,175.94,0.0,--,--
06/30/25,06/30/25,06/30/25,Interest Income,MORGAN STANLEY BANK N.A. (Period 06/01-06/30),MSBNK,--,,,0.53,0.0,--,--
06/27/25,06/27/25,06/27/25,Qualified Dividend,LOCKHEED MARTIN CORP REC 06/27/25 PAY 06/27/25 RATE 0.00000000 QTY 0.00000000,LMT,--,,,115.5,0.0,--,--
06/26/25,06/26/25,06/26/25,Qualified Dividend,META PLATFORMS INC CL A REC 06/26/25 PAY 06/26/25 RATE 0.00000000 QTY 0.00000000,META,--,,,11.03,0.0,--,--
06/10/25,06/10/25,06/11/25,Bought,ELI LILLY & CO UNSOLICITED TRADE,LLY,--,18.0,802.5,-14445.0,0.0,--,--
06/10/25,06/10/25,06/11/25,Bought,META PLATFORMS INC CL A UNSOLICITED TRADE,META,--,21.0,700.65,-14713.65,0.0,--,--
06/02/25,06/02/25,05/30/25,Dividend,181.360000 VANGUARD FEDERAL MMKT INV REINVEST PRICE $ 1 As of 05/30/25,VMFXX,--,181.36,1.0,-181.36,0.0,--,--
06/02/25,06/02/25,05/30/25,Dividend,VANGUARD FEDERAL MMKT INV DIV PAYMENT,VMFXX,--,,,181.36,0.0,--,--
05/30/25,05/30/25,05/30/25,Interest Income,MORGAN STANLEY BANK N.A. (Period 05/01-05/31),MSBNK,--,,,0.72,0.0,--,--
05/05/25,05/05/25,05/05/25,Qualified Dividend,ELBIT SYSTEMS LTD REC 05/05/25 PAY 05/05/25 RATE 0.00000000 QTY 0.00000000,ESLT,--,,,17.47,0.0,--,--
05/05/25,05/05/25,05/05/25,Dividend,ELBIT SYSTEMS LTD ADJ GROSS DIV AMOUNT      3.53 FOREIGN TAX PAID IS       3.53,ESLT,--,,,0.0,0.0,--,--
05/01/25,05/01/25,04/30/25,Dividend,210.020000 VANGUARD FEDERAL MMKT INV REINVEST PRICE $ 1 As of 04/30/25,VMFXX,--,210.02,1.0,-210.02,0.0,--,--
05/01/25,05/01/25,04/30/25,Dividend,VANGUARD FEDERAL MMKT INV DIV PAYMENT,VMFXX,--,,,210.02,0.0,--,--
04/30/25,04/30/25,04/30/25,Interest Income,MORGAN STANLEY BANK N.A. (Period 04/01-04/30),MSBNK,--,,,0.61,0.0,--,--
04/04/25,04/04/25,04/07/25,Sold,VANGUARD FEDERAL MMKT INV CONFIRM NBR UNSOLICITED TRADE,VMFXX,--,-50000.0,1.0,50000.0,0.0,--,--
