All Transactions Activity Types

Account Activity for Joint JTWROS -2060 from Current Year

Total:,22.18

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
02/02/26,02/02/26,01/30/26,Dividend,161.970000 VANGUARD FEDERAL MMKT INV REINVEST PRICE $ 1 As of 01/30/26,VMFXX,--,161.97,1.0,-161.97,0.0,--,--
02/02/26,02/02/26,01/30/26,Dividend,VANGUARD FEDERAL MMKT INV DIV PAYMENT,VMFXX,--,,,161.97,0.0,--,--
01/30/26,01/30/26,01/30/26,Interest Income,MORGAN STANLEY BANK N.A. (Period 01/01-01/31),MSBNK,--,,,0.34,0.0,--,--
01/05/26,01/05/26,01/05/26,Qualified Dividend,ELBIT SYSTEMS LTD REC 01/05/26 PAY 01/05/26 RATE 0.00000000 QTY 0.00000000,ESLT,--,,,21.84,0.0,--,--
01/05/26,01/05/26,01/05/26,Dividend,ELBIT SYSTEMS LTD ADJ GROSS DIV AMOUNT      4.41 FOREIGN TAX PAID IS       4.41,ESLT,--,,,0.0,0.0,--,--
01/02/26,01/02/26,12/31/25,Dividend,166.410000 VANGUARD FEDERAL MMKT INV REINVEST PRICE $ 1 As of 12/31/25,VMFXX,--,166.41,1.0,-166.41,0.0,--,--
01/02/26,01/02/26,12/31/25,Dividend,VANGUARD FEDERAL MMKT INV,VMFXX,--,,,166.41,0.0,--,--



"For all accounts, the Activity Date and the Processing Date are displayed. However, for Morgan Stanley and Co. and Externally Held accounts, only the Activity Date is available; therefore, the Processing Date listed for these accounts will be equivalent to the Activity Date. Please rely on the official account statements of your Morgan Stanley & Co. or Externally Held account for the actual Processing Date of any of these assets, and refer to the definitions section for more information on these categories."

"The information provided with respect to your employee stock option plan (""ESOP"") was obtained from third party sources which Morgan Stanley believes to be reliable. However, we make no representation or guarantee that the information is accurate or complete. There may be other requirements, details, and criteria governing your ESOP. Please refer to the documentation provided by your employer for the terms and conditions governing your ESOP."

E*TRADE from Morgan Stanley credits and offers may be subject to U.S. withholding taxes and reporting at retail value. Taxes related to these credits and offers are the customer's responsibility.

"Under the Bank Deposit Program, free credit balances held in an account(s) at Morgan Stanley Smith Barney LLC are automatically deposited into an interest bearing deposit account(s), at FDIC-insured banks. For more information, view the Bank Deposit Program Disclosure Statement."

