All Transactions Activity Types

Account Activity for Joint JTWROS -2813 from Prior Year

Total:

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
11/03/25,11/03/25,11/03/25,Dividend,FREEPORT-MCMORAN CL-B DIVIDEND REINVESTMENT,FCX,--,0.021,41.652,-0.85,0.0,--,--
11/03/25,11/03/25,11/03/25,Qualified Dividend,FREEPORT-MCMORAN CL-B REC 11/03/25 PAY 11/03/25 RATE 0.00000000 QTY 0.00000000,FCX,--,,,0.85,0.0,--,--
08/01/25,08/01/25,08/01/25,Dividend,FREEPORT-MCMORAN CL-B DIVIDEND REINVESTMENT,FCX,--,0.022,39.835,-0.85,0.0,--,--
08/01/25,08/01/25,08/01/25,Qualified Dividend,FREEPORT-MCMORAN CL-B REC 08/01/25 PAY 08/01/25 RATE 0.00000000 QTY 0.00000000,FCX,--,,,0.85,0.0,--,--
05/01/25,05/01/25,05/01/25,Dividend,FREEPORT-MCMORAN CL-B DIVIDEND REINVESTMENT,FCX,--,0.024,35.737,-0.85,0.0,--,--
05/01/25,05/01/25,05/01/25,Qualified Dividend,FREEPORT-MCMORAN CL-B REC 05/01/25 PAY 05/01/25 RATE 0.00000000 QTY 0.00000000,FCX,--,,,0.85,0.0,--,--
02/03/25,02/03/25,02/03/25,Dividend,FREEPORT-MCMORAN CL-B DIVIDEND REINVESTMENT,FCX,--,0.024,36.202,-0.84,0.0,--,--
02/03/25,02/03/25,02/03/25,Qualified Dividend,FREEPORT-MCMORAN CL-B REC 02/03/25 PAY 02/03/25 RATE 0.00000000 QTY 0.00000000,FCX,--,,,0.84,0.0,--,--



"For all accounts, the Activity Date and the Processing Date are displayed. However, for Morgan Stanley and Co. and Externally Held accounts, only the Activity Date is available; therefore, the Processing Date listed for these accounts will be equivalent to the Activity Date. Please rely on the official account statements of your Morgan Stanley & Co. or Externally Held account for the actual Processing Date of any of these assets, and refer to the definitions section for more information on these categories."

"The information provided with respect to your employee stock option plan (""ESOP"") was obtained from third party sources which Morgan Stanley believes to be reliable. However, we make no representation or guarantee that the information is accurate or complete. There may be other requirements, details, and criteria governing your ESOP. Please refer to the documentation provided by your employer for the terms and conditions governing your ESOP."

E*TRADE from Morgan Stanley credits and offers may be subject to U.S. withholding taxes and reporting at retail value. Taxes related to these credits and offers are the customer's responsibility.

"Under the Bank Deposit Program, free credit balances held in an account(s) at Morgan Stanley Smith Barney LLC are automatically deposited into an interest bearing deposit account(s), at FDIC-insured banks. For more information, view the Bank Deposit Program Disclosure Statement."

