All Transactions Activity Types

Account Activity for Joint JTWROS -3652 from 2021

Total:,-5.115907697472721e-13

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
12/30/21,12/30/21,,Dividend,GILEAD SCIENCES INC           REIN @  73.7403               REC 12/15/21 PAY 12/30/21,GILD,--,41.10531,0,-3031.12,0,--,--
12/30/21,12/30/21,,Dividend,GILEAD SCIENCES INC           CASH DIV  ON    3557 SHS      REC 12/15/21 PAY 12/30/21,GILD,--,0,0,2525.47,0,--,--
12/30/21,12/30/21,,Dividend,GILEAD SCIENCES INC           CASH DIV  ON                  712.17694 SHS                 REC 12/15/21 PAY 12/30/21,GILD,--,0,0,505.65,0,--,--
09/29/21,09/29/21,,Dividend,GILEAD SCIENCES INC           REIN @  70.1637               REC 09/15/21 PAY 09/29/21,GILD,--,42.7678,0,-3000.75,0,--,--
09/29/21,09/29/21,,Dividend,GILEAD SCIENCES INC           CASH DIV  ON    3557 SHS      REC 09/15/21 PAY 09/29/21,GILD,--,0,0,2525.47,0,--,--
09/29/21,09/29/21,,Dividend,GILEAD SCIENCES INC           CASH DIV  ON                  669.40914 SHS                 REC 09/15/21 PAY 09/29/21,GILD,--,0,0,475.28,0,--,--
06/29/21,06/29/21,,Dividend,GILEAD SCIENCES INC           REIN @  67.8445               REC 06/15/21 PAY 06/29/21,GILD,--,43.77166,0,-2969.67,0,--,--
06/29/21,06/29/21,,Dividend,GILEAD SCIENCES INC           CASH DIV  ON    3557 SHS      REC 06/15/21 PAY 06/29/21,GILD,--,0,0,2525.47,0,--,--
06/29/21,06/29/21,,Dividend,GILEAD SCIENCES INC           CASH DIV  ON                  625.63748 SHS                 REC 06/15/21 PAY 06/29/21,GILD,--,0,0,444.2,0,--,--
03/30/21,03/30/21,,Dividend,GILEAD SCIENCES INC           REIN @  65.7059               REC 03/15/21 PAY 03/30/21,GILD,--,44.71332,0,-2937.93,0,--,--
03/30/21,03/30/21,,Dividend,GILEAD SCIENCES INC           CASH DIV  ON    3557 SHS      REC 03/15/21 PAY 03/30/21,GILD,--,0,0,2525.47,0,--,--
03/30/21,03/30/21,,Dividend,GILEAD SCIENCES INC           CASH DIV  ON                  580.92416 SHS                 REC 03/15/21 PAY 03/30/21,GILD,--,0,0,412.46,0,--,--
