All Transactions Activity Types

Account Activity for maya -3758 from 2021

Total:,49092.66000000005

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
12/29/21,12/29/21,,Sold,ALLOGENE THERAPEUTICS INC     COMMON STOCK,ALLO,--,-600,15.441,9264.48,0,--,--
12/29/21,12/29/21,,Sold,ALLOGENE THERAPEUTICS INC     COMMON STOCK,ALLO,--,-400,15.455,6181.91,0,--,--
12/29/21,12/29/21,,Sold,ALLOGENE THERAPEUTICS INC     COMMON STOCK,ALLO,--,-1000,15.3624,15362.2,0,--,--
12/29/21,12/29/21,,Sold,ALLOGENE THERAPEUTICS INC     COMMON STOCK,ALLO,--,-4050,15.2301,61681.11,0,--,--
12/29/21,12/29/21,,Sold,BIOXCEL THERAPEUTICS INC      COMMON STOCK,BTAI,--,-1500,21.87,32804.65,0,--,--
12/29/21,12/29/21,,Sold,ZYNERBA PHARMACEUTICALS INC   COM,ZYNE,--,-3080,2.91,8962.38,0,--,--
12/29/21,12/29/21,,Sold,ZYNERBA PHARMACEUTICALS INC   COM,ZYNE,--,-3970,2.9101,11552.57,0,--,--
12/29/21,12/29/21,,Sold,***SOL GEL TECHNOLOGIES LTD   ORDINARY SHARES,SLGL,--,-100,6.58,657.98,0,--,--
12/29/21,12/29/21,,Sold,***SOL GEL TECHNOLOGIES LTD   ORDINARY SHARES,SLGL,--,-200,6.567,1313.37,0,--,--
12/29/21,12/29/21,,Sold,***SOL GEL TECHNOLOGIES LTD   ORDINARY SHARES,SLGL,--,-1,6.63,6.62,0,--,--
12/29/21,12/29/21,,Sold,***SOL GEL TECHNOLOGIES LTD   ORDINARY SHARES,SLGL,--,-611,6.55,4001.95,0,--,--
12/29/21,12/29/21,,Sold,***SOL GEL TECHNOLOGIES LTD   ORDINARY SHARES,SLGL,--,-1047,6.56,6868.16,0,--,--
12/29/21,12/29/21,,Sold,***SOL GEL TECHNOLOGIES LTD   ORDINARY SHARES,SLGL,--,-200,6.51,1301.97,0,--,--
12/29/21,12/29/21,,Sold,***SOL GEL TECHNOLOGIES LTD   ORDINARY SHARES,SLGL,--,-2041,6.5,13266.19,0,--,--
