All Transactions Activity Types

Account Activity for maya -3758 from 2023

Total:,-6.4799999999813735

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
12/20/23,12/20/23,,Dividend,ELECTRONIC ARTS INC DIVIDEND REINVESTMENT,EA,--,0.484,138.35321,-66.88,0,--,--
12/20/23,12/20/23,,Dividend,ELECTRONIC ARTS INC REC 12/20/23 PAY 12/20/23 RATE 0.00000000 QTY 0.00000000,EA,--,0,0,66.88,0,--,--
12/15/23,12/15/23,,Transfer,ACH DEPOSIT  REFID:95569158906;, ,--,0,0,20,0,--,--
12/13/23,12/13/23,,Reorganization,INSTIL BIO INC NEW CASH IN LIEU OF FRACTIONS,TIL,--,0,0,6.18,0,--,--
12/08/23,12/08/23,,Misc Trade,INSTIL BIO INC MANDATORY REORG FEE, ,--,0,0,-38,0,--,--
12/08/23,12/08/23,,Reorganization,INSTIL BIO INC NEW EXCHANGE,TIL,--,1624,0,0,0,--,--
12/08/23,12/08/23,,Reorganization,INSTIL BIO INC EXCHANGE, ,--,-32499,0,0,0,--,--
11/30/23,11/30/23,,Interest,MORGAN STANLEY BANK N.A. (Period 11/01-11/30),MSBNK,--,-0.24,0,0.24,0,--,--
11/13/23,11/13/23,,Bought,ELECTRONIC ARTS INC UNSOLICITED TRADE,EA,--,52,132.83,-6907.16,0,--,--
11/13/23,11/13/23,,Bought,ELECTRONIC ARTS INC UNSOLICITED TRADE,EA,--,200,132.815,-26563,0,--,--
11/13/23,11/13/23,,Bought,ELECTRONIC ARTS INC UNSOLICITED TRADE,EA,--,100,132.8296,-13282.96,0,--,--
11/13/23,11/13/23,,Bought,ZSCALER  INC UNSOLICITED TRADE,ZS,--,300,178.375,-53512.5,0,--,--
11/13/23,11/13/23,,Sold,ALLOGENE THERAPEUTICS INC UNSOLICITED TRADE,ALLO,--,-3,2.445,7.33,0.01,--,--
11/13/23,11/13/23,,Sold,ALLOGENE THERAPEUTICS INC UNSOLICITED TRADE,ALLO,--,-2500,2.435,6087.09,0.05,--,--
11/13/23,11/13/23,,Sold,ALLOGENE THERAPEUTICS INC UNSOLICITED TRADE,ALLO,--,-9997,2.44,24391.03,0.2,--,--
11/13/23,11/13/23,,Sold,ALLOGENE THERAPEUTICS INC UNSOLICITED TRADE,ALLO,--,-2500,2.4405,6100.84,0.05,--,--
10/31/23,10/31/23,,Interest,MORGAN STANLEY BANK N.A. (Period 10/01-10/31),MSBNK,--,0,0,0.14,0,--,--
10/23/23,10/23/23,,Misc Trade,SCIPLAY CORP CL A MANDATORY REORG FEE,SCPL,--,0,0,-38,0,--,--
10/23/23,10/23/23,,Reorganization,SCIPLAY CORP CL A EXCHANGE FOR CASH,SCPL,--,-2777,22.95,63732.15,0,--,--
05/26/23,05/26/23,,Interest,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST,#2145605,--,0,0,0.78,0,--,--
05/08/23,05/08/23,,Bought,SCIPLAY CORPORATION           CLASS A COMMON STOCK,SCPL,--,151,16.6599,-2515.64,0,--,--
05/08/23,05/08/23,,Bought,SCIPLAY CORPORATION           CLASS A COMMON STOCK,SCPL,--,1,16.65,-16.65,0,--,--
05/08/23,05/08/23,,Bought,SCIPLAY CORPORATION           CLASS A COMMON STOCK,SCPL,--,1748,16.66,-29121.68,0,--,--
05/08/23,05/08/23,,Bought,SCIPLAY CORPORATION           CLASS A COMMON STOCK,SCPL,--,877,16.69,-14637.13,0,--,--
05/08/23,05/08/23,,Bought,SOFI TECHNOLOGIES INC         COMMON STOCK,SOFI,--,10000,5.41,-54100,0,--,--
05/08/23,05/08/23,,Bought,***UROGEN PHARMA LTD          ORDINARY SHARES,URGN,--,6000,12.31,-73860,0,--,--
05/08/23,05/08/23,,Bought,DYNAVAX TECHNOLOGIES CORP,DVAX,--,1468,10.9099,-16015.73,0,--,--
05/08/23,05/08/23,,Bought,DYNAVAX TECHNOLOGIES CORP,DVAX,--,4532,10.905,-49421.46,0,--,--
05/08/23,05/08/23,,Bought,UBER TECHNOLOGIES INC         COMMON STOCK,UBER,--,2000,38.61,-77220,0,--,--
05/08/23,05/08/23,,Transfer,ACH DEPOSIT                   REFID:79390348906;, ,--,0,0,22.65,0,--,--
05/01/23,05/01/23,,Reorganization,REORG FEE REVERSAL(74374N102) REFID:23118103568646;, ,--,0,0,38,0,--,--
04/28/23,04/28/23,,Reorganization,PROVENTION BIO INC            COMMON STOCK                  CASH MERGER @ $25,74374N102,--,-12675,25,316875,0,--,--
04/28/23,04/28/23,,Reorganization,PROVENTION BIO INC            COMMON STOCK                  MANDATORY REORG FEE CHARGED,74374N102,--,0,0,-38,0,--,--
01/19/23,01/19/23,,Adjustment,INSTIL BIO INC                COMMON STOCK                  FREE REC BKR 07805,TIL,--,32499,0,0,0,--,--
