For Account:,#####2060


TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description

12/30/21,Dividend,MF,VGHCX,7.175,-1637.68,0,0,VANGUARD HEALTH CARE INV      VANGUARD                      REINVEST PRICE $228.26
12/30/21,Dividend,MF,VGHCX,0.719,-164.2,0,0,VANGUARD HEALTH CARE INV      VANGUARD                      REINVEST PRICE $228.26
12/30/21,Dividend,MF,VGHCX,0.895,-204.21,0,0,VANGUARD HEALTH CARE INV      VANGUARD                      REINVEST PRICE $228.26
12/30/21,Dividend,MF,VGHCX,0,164.2,0,0,VANGUARD HEALTH CARE INV      VANGUARD                      S/T CAPITAL GAIN              RECORD 12/28/21 PAY 12/30/21
12/30/21,Dividend,MF,VGHCX,0,204.21,0,0,VANGUARD HEALTH CARE INV      VANGUARD                      RECORD 12/28/21 PAY 12/30/21  DIVIDEND RATE      1.58270000
12/30/21,Dividend,MF,VGHCX,0,1637.68,0,0,VANGUARD HEALTH CARE INV      VANGUARD                      L/T CAPITAL GAIN              RECORD 12/28/21 PAY 12/30/21
12/29/21,Dividend,MF,PTOAX,25.742,-300.41,0,0,PIMCO STOCKSPLUS?? ABSOLUTE RETPIMCO                         REINVEST PRICE $ 11.67
12/29/21,Dividend,MF,PTOAX,0,300.41,0,0,PIMCO STOCKSPLUS?? ABSOLUTE RETPIMCO                         RECORD 12/27/21 PAY 12/28/21  DIVIDEND RATE      0.07728000
12/21/21,Dividend,MF,VFIAX,0.382,-160.88,0,0,VANGUARD 500 INDEX ADMIRAL    VANGUARD                      REINVEST PRICE $421.39
12/21/21,Dividend,MF,VFIAX,0,160.88,0,0,VANGUARD 500 INDEX ADMIRAL    VANGUARD                      RECORD 12/17/21 PAY 12/21/21  DIVIDEND RATE      1.53510000
12/17/21,Dividend,MF,SWHFX,119.28,-3331.5,0,0,SCHWAB HEALTH CARE            SCHWAB FUNDS                  REINVEST PRICE $ 27.93
12/17/21,Dividend,MF,SWHFX,34.916,-975.19,0,0,SCHWAB HEALTH CARE            SCHWAB FUNDS                  REINVEST PRICE $ 27.93
12/17/21,Dividend,MF,SWHFX,10.433,-291.4,0,0,SCHWAB HEALTH CARE            SCHWAB FUNDS                  REINVEST PRICE $ 27.93
12/17/21,Dividend,MF,SWHFX,0,975.19,0,0,SCHWAB HEALTH CARE            SCHWAB FUNDS                  S/T CAPITAL GAIN              RECORD 12/15/21 PAY 12/16/21
12/17/21,Dividend,MF,SWHFX,0,291.4,0,0,SCHWAB HEALTH CARE            SCHWAB FUNDS                  RECORD 12/15/21 PAY 12/16/21  DIVIDEND RATE      0.22620000
12/17/21,Dividend,MF,SWHFX,0,3331.5,0,0,SCHWAB HEALTH CARE            SCHWAB FUNDS                  L/T CAPITAL GAIN              RECORD 12/15/21 PAY 12/16/21
12/15/21,Dividend,MF,PRDSX,84.957,-3764.46,0,0,T. ROWE PRICE QM US SMALL-CAP T. ROWE PRICE                 REINVEST PRICE $ 44.31
12/15/21,Dividend,MF,PRDSX,6.573,-291.26,0,0,T. ROWE PRICE QM US SMALL-CAP T. ROWE PRICE                 REINVEST PRICE $ 44.31
12/15/21,Dividend,MF,PRDSX,0,291.26,0,0,T. ROWE PRICE QM US SMALL-CAP T. ROWE PRICE                 S/T CAPITAL GAIN              RECORD 12/13/21 PAY 12/15/21
12/15/21,Dividend,MF,PRDSX,0,3764.46,0,0,T. ROWE PRICE QM US SMALL-CAP T. ROWE PRICE                 L/T CAPITAL GAIN              RECORD 12/13/21 PAY 12/15/21
12/13/21,Dividend,MF,SNXFX,2.475,-253.22,0,0,SCHWAB 1000 INDEX??            SCHWAB FUNDS                  REINVEST PRICE $102.32
12/13/21,Dividend,MF,SNXFX,5.266,-538.86,0,0,SCHWAB 1000 INDEX??            SCHWAB FUNDS                  REINVEST PRICE $102.32
12/13/21,Dividend,MF,SNXFX,0,538.86,0,0,SCHWAB 1000 INDEX??            SCHWAB FUNDS                  RECORD 12/09/21 PAY 12/10/21  DIVIDEND RATE      1.22680000
12/13/21,Dividend,MF,SNXFX,0,253.22,0,0,SCHWAB 1000 INDEX??            SCHWAB FUNDS                  L/T CAPITAL GAIN              RECORD 12/09/21 PAY 12/10/21
12/09/21,Dividend,MF,PTOAX,712.667,-8209.92,0,0,PIMCO STOCKSPLUS?? ABSOLUTE RETPIMCO                         REINVEST PRICE $ 11.52
12/09/21,Dividend,MF,PTOAX,0,8209.92,0,0,PIMCO STOCKSPLUS?? ABSOLUTE RETPIMCO                         L/T CAPITAL GAIN              RECORD 12/07/21 PAY 12/08/21
09/29/21,Dividend,MF,VFIAX,0.34,-136.57,0,0,VANGUARD 500 INDEX ADMIRAL    VANGUARD                      REINVEST PRICE $401.73
09/29/21,Dividend,MF,VFIAX,0,136.57,0,0,VANGUARD 500 INDEX ADMIRAL    VANGUARD                      RECORD 09/27/21 PAY 09/29/21  DIVIDEND RATE      1.30740000
09/10/21,Dividend,MF,PTOAX,124.232,-1689.55,0,0,PIMCO STOCKSPLUS?? ABSOLUTE RETPIMCO                         REINVEST PRICE $ 13.60
09/10/21,Dividend,MF,PTOAX,0,1689.55,0,0,PIMCO STOCKSPLUS?? ABSOLUTE RETPIMCO                         RECORD 09/08/21 PAY 09/09/21  DIVIDEND RATE      0.55387000
07/19/21,Interest,EQ,#2145605,0,0.05,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST
07/16/21,Transfer,UNKNOWN, ,0,-10000,0,0,ACH WITHDRAWL                 REFID:29957941906;
06/29/21,Dividend,MF,VFIAX,0.35,-138.75,0,0,VANGUARD 500 INDEX ADMIRAL    VANGUARD                      REINVEST PRICE $395.98
06/29/21,Dividend,MF,VFIAX,0,138.75,0,0,VANGUARD 500 INDEX ADMIRAL    VANGUARD                      RECORD 06/25/21 PAY 06/29/21  DIVIDEND RATE      1.33270000
06/28/21,Transfer,UNKNOWN, ,0,10000,0,0,ACH DEPOSIT                   REFID:28430526906;
06/11/21,Dividend,MF,PTOAX,69.36,-925.95,0,0,PIMCO STOCKSPLUS?? ABSOLUTE RETPIMCO                         REINVEST PRICE $ 13.35
06/11/21,Dividend,MF,PTOAX,0,925.95,0,0,PIMCO STOCKSPLUS?? ABSOLUTE RETPIMCO                         RECORD 06/09/21 PAY 06/10/21  DIVIDEND RATE      0.31061000
03/29/21,Dividend,MF,VGHCX,1.089,-231.52,0,0,VANGUARD HEALTH CARE INV      VANGUARD                      REINVEST PRICE $212.68
03/29/21,Dividend,MF,VGHCX,0.68,-144.56,0,0,VANGUARD HEALTH CARE INV      VANGUARD                      REINVEST PRICE $212.68
03/29/21,Dividend,MF,VGHCX,0.22,-46.8,0,0,VANGUARD HEALTH CARE INV      VANGUARD                      REINVEST PRICE $212.68
03/29/21,Dividend,MF,VGHCX,0,144.56,0,0,VANGUARD HEALTH CARE INV      VANGUARD                      S/T CAPITAL GAIN              RECORD 03/25/21 PAY 03/29/21
03/29/21,Dividend,MF,VGHCX,0,46.8,0,0,VANGUARD HEALTH CARE INV      VANGUARD                      RECORD 03/25/21 PAY 03/29/21  DIVIDEND RATE      0.368400000
03/29/21,Dividend,MF,VGHCX,0,231.52,0,0,VANGUARD HEALTH CARE INV      VANGUARD                      L/T CAPITAL GAIN              RECORD 03/25/21 PAY 03/29/21
03/26/21,Dividend,MF,VFIAX,0.363,-130.88,0,0,VANGUARD 500 INDEX ADMIRAL    VANGUARD                      REINVEST PRICE $360.78
03/26/21,Dividend,MF,VFIAX,0,130.88,0,0,VANGUARD 500 INDEX ADMIRAL    VANGUARD                      RECORD 03/24/21 PAY 03/26/21  DIVIDEND RATE      1.261500000
03/12/21,Dividend,MF,PTOAX,65.776,-829.43,0,0,PIMCO STOCKSPLUS?? ABSOLUTE RETPIMCO                         REINVEST PRICE $ 12.61
03/12/21,Dividend,MF,PTOAX,0,829.43,0,0,PIMCO STOCKSPLUS?? ABSOLUTE RETPIMCO                         RECORD 03/10/21 PAY 03/11/21  DIVIDEND RATE      0.284510000



