For Account:,#####3758


TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description

12/18/24,Dividend,EQ,EA,0.434,-67.25,155.15595,0,ELECTRONIC ARTS INC DIVIDEND REINVESTMENT
12/18/24,Qualified Dividend,EQ,EA,0,67.25,0,0,ELECTRONIC ARTS INC REC 12/18/24 PAY 12/18/24 RATE 0.00000000 QTY 0.00000000
09/18/24,Dividend,EQ,EA,0.459,-67.16,146.5197,0,ELECTRONIC ARTS INC DIVIDEND REINVESTMENT
09/18/24,Dividend,EQ,EA,0,67.16,0,0,ELECTRONIC ARTS INC REC 09/18/24 PAY 09/18/24 RATE 0.00000000 QTY 0.00000000
06/20/24,Dividend,EQ,EA,0.489,-67.07,137.1322,0,ELECTRONIC ARTS INC DIVIDEND REINVESTMENT
06/20/24,Dividend,EQ,EA,0,67.07,0,0,ELECTRONIC ARTS INC REC 06/20/24 PAY 06/20/24 RATE 0.00000000 QTY 0.00000000
03/20/24,Dividend,EQ,EA,0.506,-66.97,132.47556,0,ELECTRONIC ARTS INC DIVIDEND REINVESTMENT
03/20/24,Dividend,EQ,EA,0,66.97,0,0,ELECTRONIC ARTS INC REC 03/20/24 PAY 03/20/24 RATE 0.00000000 QTY 0.00000000



