For Account:,#####2060


TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description

12/31/25,Interest Income,MMF,MSBNK,-0.29,0.29,0,0,MORGAN STANLEY BANK N.A. (Period 12/01-12/31)
12/30/25,Qualified Dividend,EQ,LMT,0,120.75,0,0,LOCKHEED MARTIN CORP REC 12/30/25 PAY 12/30/25 RATE 0.00000000 QTY 0.00000000
12/26/25,Online Transfer, , ,0,5689.38,0,0,TRANSFER FROM XXXXX6158  REFID:8219744395
12/23/25,Qualified Dividend,EQ,META,0,11.03,0,0,META PLATFORMS INC CL A REC 12/23/25 PAY 12/23/25 RATE 0.00000000 QTY 0.00000000
12/10/25,Qualified Dividend,EQ,LLY,0,27,0,0,ELI LILLY & CO REC 12/10/25 PAY 12/10/25 RATE 0.00000000 QTY 0.00000000
12/01/25,Dividend,MMF,VMFXX,179.64,-179.64,1,0,179.640000 VANGUARD FEDERAL MMKT INV REINVEST PRICE $ 1 As of 11/28/25
12/01/25,Dividend,MMF,VMFXX,0,179.64,0,0,VANGUARD FEDERAL MMKT INV DIV PAYMENT
11/28/25,Interest Income,MMF,MSBNK,-0.24,0.24,0,0,MORGAN STANLEY BANK N.A. (Period 11/01-11/30)
11/04/25,Sold,MMF,VMFXX,-30000,30000,1,0,VANGUARD FEDERAL MMKT INV CONFIRM NBR UNSOLICITED TRADE
11/03/25,Dividend,MMF,VMFXX,280.58,-280.58,1,0,280.580000 VANGUARD FEDERAL MMKT INV REINVEST PRICE $ 1 As of 10/31/25
11/03/25,Dividend,MMF,VMFXX,0,280.58,0,0,VANGUARD FEDERAL MMKT INV DIV PAYMENT
10/31/25,Interest Income,MMF,MSBNK,-0.03,0.03,0,0,MORGAN STANLEY BANK N.A. (Period 10/01-10/31)
10/27/25,Qualified Dividend,EQ,ESLT,0,21.84,0,0,ELBIT SYSTEMS LTD REC 10/27/25 PAY 10/27/25 RATE 0.00000000 QTY 0.00000000
10/27/25,Dividend,EQ,ESLT,0,0,0,0,ELBIT SYSTEMS LTD ADJ GROSS DIV AMOUNT      4.41 FOREIGN TAX PAID IS       4.41
10/01/25,Dividend,MMF,VMFXX,277.64,-277.64,1,0,277.640000 VANGUARD FEDERAL MMKT INV REINVEST PRICE $ 1 As of 09/30/25
10/01/25,Dividend,MMF,VMFXX,0,277.64,0,0,VANGUARD FEDERAL MMKT INV DIV PAYMENT
09/30/25,Interest Income,MMF,MSBNK,-0.03,0.03,0,0,MORGAN STANLEY BANK N.A. (Period 09/01-09/30)
09/29/25,Qualified Dividend,EQ,META,0,11.03,0,0,META PLATFORMS INC CL A REC 09/29/25 PAY 09/29/25 RATE 0.00000000 QTY 0.00000000
09/26/25,Qualified Dividend,EQ,LMT,0,115.5,0,0,LOCKHEED MARTIN CORP REC 09/26/25 PAY 09/26/25 RATE 0.00000000 QTY 0.00000000
09/10/25,Qualified Dividend,EQ,LLY,0,27,0,0,ELI LILLY & CO REC 09/10/25 PAY 09/10/25 RATE 0.00000000 QTY 0.00000000
09/02/25,Dividend,MMF,VMFXX,255.89,-255.89,1,0,255.890000 VANGUARD FEDERAL MMKT INV REINVEST PRICE $ 1 As of 08/29/25
09/02/25,Dividend,MMF,VMFXX,0,255.89,0,0,VANGUARD FEDERAL MMKT INV DIV PAYMENT
08/29/25,Interest Income,MMF,MSBNK,-0.17,0.17,0,0,MORGAN STANLEY BANK N.A. (Period 08/01-08/31)
08/08/25,Bought,MMF,VMFXX,30000,-30000,1,0,VANGUARD FEDERAL MMKT INV CONFIRM NBR UNSOLICITED TRADE
08/08/25,Bought,EQ,TSLA,66,-21708.06,328.91,0,TESLA INC UNSOLICITED TRADE
08/01/25,Dividend,MMF,VMFXX,182.96,-182.96,1,0,182.960000 VANGUARD FEDERAL MMKT INV REINVEST PRICE $ 1 As of 07/31/25
08/01/25,Dividend,MMF,VMFXX,0,182.96,0,0,VANGUARD FEDERAL MMKT INV DIV PAYMENT
07/31/25,Interest Income,MMF,MSBNK,-0.46,0.46,0,0,MORGAN STANLEY BANK N.A. (Period 07/01-07/31)
07/07/25,Qualified Dividend,EQ,ESLT,0,17.47,0,0,ELBIT SYSTEMS LTD REC 07/07/25 PAY 07/07/25 RATE 0.00000000 QTY 0.00000000
07/07/25,Dividend,EQ,ESLT,0,0,0,0,ELBIT SYSTEMS LTD ADJ GROSS DIV AMOUNT      3.53 FOREIGN TAX PAID IS       3.53
07/01/25,Dividend,MMF,VMFXX,175.94,-175.94,1,0,175.940000 VANGUARD FEDERAL MMKT INV REINVEST PRICE $ 1 As of 06/30/25
07/01/25,Dividend,MMF,VMFXX,0,175.94,0,0,VANGUARD FEDERAL MMKT INV DIV PAYMENT
06/30/25,Interest Income,MMF,MSBNK,-0.53,0.53,0,0,MORGAN STANLEY BANK N.A. (Period 06/01-06/30)
06/27/25,Qualified Dividend,EQ,LMT,0,115.5,0,0,LOCKHEED MARTIN CORP REC 06/27/25 PAY 06/27/25 RATE 0.00000000 QTY 0.00000000
06/26/25,Qualified Dividend,EQ,META,0,11.03,0,0,META PLATFORMS INC CL A REC 06/26/25 PAY 06/26/25 RATE 0.00000000 QTY 0.00000000
06/10/25,Bought,EQ,LLY,18,-14445,802.5,0,ELI LILLY & CO UNSOLICITED TRADE
06/10/25,Bought,EQ,META,21,-14713.65,700.65,0,META PLATFORMS INC CL A UNSOLICITED TRADE
06/02/25,Dividend,MMF,VMFXX,181.36,-181.36,1,0,181.360000 VANGUARD FEDERAL MMKT INV REINVEST PRICE $ 1 As of 05/30/25
06/02/25,Dividend,MMF,VMFXX,0,181.36,0,0,VANGUARD FEDERAL MMKT INV DIV PAYMENT
05/30/25,Interest Income,MMF,MSBNK,-0.72,0.72,0,0,MORGAN STANLEY BANK N.A. (Period 05/01-05/31)
05/05/25,Qualified Dividend,EQ,ESLT,0,17.47,0,0,ELBIT SYSTEMS LTD REC 05/05/25 PAY 05/05/25 RATE 0.00000000 QTY 0.00000000
05/05/25,Dividend,EQ,ESLT,0,0,0,0,ELBIT SYSTEMS LTD ADJ GROSS DIV AMOUNT      3.53 FOREIGN TAX PAID IS       3.53
05/01/25,Dividend,MMF,VMFXX,210.02,-210.02,1,0,210.020000 VANGUARD FEDERAL MMKT INV REINVEST PRICE $ 1 As of 04/30/25
05/01/25,Dividend,MMF,VMFXX,0,210.02,0,0,VANGUARD FEDERAL MMKT INV DIV PAYMENT
04/30/25,Interest Income,MMF,MSBNK,-0.61,0.61,0,0,MORGAN STANLEY BANK N.A. (Period 04/01-04/30)
04/04/25,Sold,MMF,VMFXX,-50000,50000,1,0,VANGUARD FEDERAL MMKT INV CONFIRM NBR UNSOLICITED TRADE
04/01/25,Dividend,MMF,VMFXX,415.25,-415.25,1,0,415.250000 VANGUARD FEDERAL MMKT INV REINVEST PRICE $ 1 As of 03/31/25
04/01/25,Dividend,MMF,VMFXX,0,415.25,0,0,VANGUARD FEDERAL MMKT INV DIV PAYMENT
03/31/25,Interest Income,MMF,MSBNK,-0.15,0.15,0,0,MORGAN STANLEY BANK N.A. (Period 03/01-03/31)
03/28/25,Qualified Dividend,EQ,LMT,0,115.5,0,0,LOCKHEED MARTIN CORP REC 03/28/25 PAY 03/28/25 RATE 0.00000000 QTY 0.00000000
03/14/25,Sold,MMF,VMFXX,-30000,30000,1,0,VANGUARD FEDERAL MMKT INV CONFIRM NBR UNSOLICITED TRADE
03/03/25,Dividend,MMF,VMFXX,45.49,-45.49,1,0,45.490000 VANGUARD FEDERAL MMKT INV REINVEST PRICE $ 1 As of 02/28/25
03/03/25,Dividend,MMF,VMFXX,0,45.49,0,0,VANGUARD FEDERAL MMKT INV DIV PAYMENT
02/28/25,Interest Income,MMF,MSBNK,-1.21,1.21,0,0,MORGAN STANLEY BANK N.A. (Period 02/01-02/28)
02/25/25,Bought,MMF,VMFXX,130000,-130000,1,0,VANGUARD FEDERAL MMKT INV CONFIRM NBR UNSOLICITED TRADE
02/25/25,Bought,EQ,LMT,35,-15750,450,0,LOCKHEED MARTIN CORP UNSOLICITED TRADE
02/25/25,Bought,EQ,ESLT,35,-10430,298,0,ELBIT SYSTEMS LTD UNSOLICITED TRADE
02/25/25,Bought,EQ,PLTR,500,-43000,86,0,PALANTIR TECHNOLOGIES INC CL A UNSOLICITED TRADE
02/25/25,Bought,EQ,MSTR,200,-50600,253,0,MICROSTRATEGY INC UNSOLICITED TRADE
02/25/25,Bought,EQ,TSLA,130,-39520,304,0,TESLA INC UNSOLICITED TRADE
02/10/25,Sold,MF,PTOAX,-4633.007,58005.25,12.52,0,PIMCO STOCKPLUS ABSOLUTE RET A CONFIRM NBR UNSOLICITED TRADE
02/10/25,Sold,MF,VFIAX,-110.061,61678.18,560.4,0,VANGUARD 500 INDX ADMIRAL CONFIRM NBR UNSOLICITED TRADE
02/10/25,Sold,MF,SNXFX,-466.18,60771.22,130.36,0,SCHWAB 1000 INDEX CONFIRM NBR UNSOLICITED TRADE
02/10/25,Sold,MF,PRDSX,-820.127,36807.3,44.88,0,T ROWE INT US SMCP GRW EQ INV CONFIRM NBR UNSOLICITED TRADE
02/10/25,Sold,MF,SWHFX,-1711.999,42389.1,24.76,0,SCHWAB HEALTH CARE FD CONFIRM NBR UNSOLICITED TRADE
02/10/25,Sold,MF,VGHCX,-176.323,33489.03,189.93,0,VANGUARD HEALTH CARE INV CONFIRM NBR UNSOLICITED TRADE



